index,County,Precinct,Registered Voters,Larry Hooks (I) (Rep)_Election Day Votes,Larry Hooks (I) (Rep)_Advanced Voting Votes,Larry Hooks (I) (Rep)_Absentee by Mail Votes,Larry Hooks (I) (Rep)_Provisional Votes,Larry Hooks (I) (Rep)_Choice Total,Total,
0,Heard,Cooksville-Corinth,700,126,156,41,0,323,323,
1,Heard,Enon Grove,1156,244,265,81,0,590,590,
