index,County,Precinct,Registered Voters,Tammie Teal (I) (Rep)_Election Day Votes,Tammie Teal (I) (Rep)_Advanced Voting Votes,Tammie Teal (I) (Rep)_Absentee by Mail Votes,Tammie Teal (I) (Rep)_Provisional Votes,Tammie Teal (I) (Rep)_Choice Total,Total,
0,Heard,Centralhatchee,1767,391,595,194,0,1180,1180,
1,Heard,Cooksville-Corinth,700,153,199,50,0,402,402,
2,Heard,Enon Grove,1156,276,311,89,0,676,676,
3,Heard,Ephesus,1321,427,308,137,0,872,872,
4,Heard,Franklin,2178,294,724,250,1,1269,1269,
5,Heard,Southwest,640,168,177,90,0,435,435,
