index,County,Precinct,Registered Voters,Ross Henry (I) (Rep)_Election Day Votes,Ross Henry (I) (Rep)_Advanced Voting Votes,Ross Henry (I) (Rep)_Absentee by Mail Votes,Ross Henry (I) (Rep)_Provisional Votes,Ross Henry (I) (Rep)_Choice Total,Total,
0,Heard,Centralhatchee,1767,387,604,196,0,1187,1187,
1,Heard,Cooksville-Corinth,700,153,190,51,0,394,394,
2,Heard,Enon Grove,1156,280,313,87,0,680,680,
3,Heard,Ephesus,1321,418,305,143,0,866,866,
4,Heard,Franklin,2178,296,754,264,1,1315,1315,
5,Heard,Southwest,640,164,182,93,0,439,439,
