index,County,Precinct,Registered Voters,Kathie Buchanan (I) (Rep)_Election Day Votes,Kathie Buchanan (I) (Rep)_Advanced Voting Votes,Kathie Buchanan (I) (Rep)_Absentee by Mail Votes,Kathie Buchanan (I) (Rep)_Provisional Votes,Kathie Buchanan (I) (Rep)_Choice Total,Total,
0,Heard,Centralhatchee,1767,393,605,195,0,1193,1193,
1,Heard,Cooksville-Corinth,700,154,203,51,0,408,408,
2,Heard,Enon Grove,1156,280,315,88,0,683,683,
3,Heard,Ephesus,1321,426,313,136,0,875,875,
4,Heard,Franklin,2178,307,758,260,1,1326,1326,
5,Heard,Southwest,640,172,181,96,0,449,449,
