index,County,Precinct,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
0,Heard,Centralhatchee,1767,378,577,186,0,1141,1141,
1,Heard,Cooksville-Corinth,700,150,195,52,0,397,397,
2,Heard,Enon Grove,1156,271,306,89,0,666,666,
3,Heard,Ephesus,1321,412,297,133,0,842,842,
4,Heard,Franklin,2178,294,697,227,1,1219,1219,
5,Heard,Southwest,640,161,169,74,0,404,404,
