index,County,Precinct,Registered Voters,Dianne Watson (I) (Rep)_Election Day Votes,Dianne Watson (I) (Rep)_Advanced Voting Votes,Dianne Watson (I) (Rep)_Absentee by Mail Votes,Dianne Watson (I) (Rep)_Provisional Votes,Dianne Watson (I) (Rep)_Choice Total,Total,
0,Heard,Centralhatchee,1767,393,599,192,0,1184,1184,
1,Heard,Cooksville-Corinth,700,155,200,51,0,406,406,
2,Heard,Enon Grove,1156,275,320,91,0,686,686,
3,Heard,Ephesus,1321,426,304,138,0,868,868,
4,Heard,Franklin,2178,302,745,251,1,1299,1299,
5,Heard,Southwest,640,173,179,93,0,445,445,
