index,County,Precinct,Registered Voters,Lee Boone (I) (Rep)_Election Day Votes,Lee Boone (I) (Rep)_Advanced Voting Votes,Lee Boone (I) (Rep)_Absentee by Mail Votes,Lee Boone (I) (Rep)_Provisional Votes,Lee Boone (I) (Rep)_Choice Total,Total,
0,Heard,Centralhatchee,1767,378,575,180,0,1133,1133,
1,Heard,Cooksville-Corinth,700,156,195,51,0,402,402,
2,Heard,Enon Grove,1156,269,313,87,0,669,669,
3,Heard,Ephesus,1321,415,298,123,0,836,836,
4,Heard,Franklin,2178,282,688,233,1,1204,1204,
5,Heard,Southwest,640,161,171,84,0,416,416,
