index,County,Precinct,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total,
0,Heard,Centralhatchee,1767,367,563,178,0,1108,45,67,53,0,165,1273,
1,Heard,Cooksville-Corinth,700,141,189,46,0,376,17,13,7,0,37,413,
2,Heard,Enon Grove,1156,269,285,79,0,633,10,41,19,0,70,703,
3,Heard,Ephesus,1321,410,292,129,0,831,17,30,26,1,74,905,
4,Heard,Franklin,2178,266,653,202,1,1122,53,129,121,0,303,1425,
5,Heard,Southwest,640,159,159,56,0,374,13,32,45,0,90,464,
