index,County,Precinct,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total,
0,Colquitt,Shaw,3487,77,280,79,0,436,337,418,307,0,1062,1498,
1,Colquitt,Moultrie,4809,346,1182,321,0,1849,213,530,305,1,1049,2898,
2,Colquitt,Autreyville,1512,260,405,74,2,741,45,98,46,0,189,930,
3,Colquitt,Bridgecreek,1191,269,438,83,2,792,21,37,31,0,89,881,
4,Colquitt,Crosland,289,85,32,17,0,134,20,15,8,1,44,178,
5,Colquitt,Doerun,619,150,122,22,0,294,69,29,27,0,125,419,
6,Colquitt,Funston,1030,277,267,67,3,614,29,44,27,0,100,714,
7,Colquitt,Hamilton,784,266,198,45,0,509,14,25,13,0,52,561,
8,Colquitt,Hartsfield,408,170,85,39,1,295,6,7,7,0,20,315,
9,Colquitt,Hopewell,1670,267,601,115,2,985,34,84,44,1,163,1148,
10,Colquitt,Lee,1094,210,279,73,0,562,28,49,22,0,99,661,
11,Colquitt,Millcreek,422,112,132,39,0,283,5,10,8,0,23,306,
12,Colquitt,Monk,1555,343,443,93,0,879,31,71,57,0,159,1038,
13,Colquitt,Murphy,973,192,427,59,0,678,11,44,27,0,82,760,
14,Colquitt,Norman Park,2586,401,679,152,0,1232,87,145,114,0,346,1578,
15,Colquitt,Robinson,860,228,200,51,0,479,35,32,13,0,80,559,
16,Colquitt,Thigpen,251,97,45,14,0,156,7,3,6,0,16,172,
17,Colquitt,Tyty,543,221,74,32,0,327,14,10,6,0,30,357,
18,Colquitt,Warrior,971,272,246,61,0,579,31,26,14,0,71,650,
