index,County,Precinct,Registered Voters,"Thomas R. Coleman, Jr. (I)_Election Day Votes","Thomas R. Coleman, Jr. (I)_Advanced Voting Votes","Thomas R. Coleman, Jr. (I)_Absentee by Mail Votes","Thomas R. Coleman, Jr. (I)_Provisional Votes","Thomas R. Coleman, Jr. (I)_Choice Total",Total,
0,Colquitt,Shaw,3487,171,493,268,0,932,932,
1,Colquitt,Moultrie,4809,462,1463,473,1,2399,2399,
2,Colquitt,Autreyville,1512,281,437,90,1,809,809,
3,Colquitt,Bridgecreek,1191,270,440,102,1,813,813,
4,Colquitt,Crosland,289,86,37,21,0,144,144,
5,Colquitt,Doerun,619,186,127,35,0,348,348,
6,Colquitt,Funston,1030,290,280,73,3,646,646,
7,Colquitt,Hamilton,784,268,208,51,0,527,527,
8,Colquitt,Hartsfield,408,170,88,43,1,302,302,
9,Colquitt,Hopewell,1670,280,632,133,2,1047,1047,
10,Colquitt,Lee,1094,221,290,83,0,594,594,
11,Colquitt,Millcreek,422,109,136,41,0,286,286,
12,Colquitt,Monk,1555,348,461,110,0,919,919,
13,Colquitt,Murphy,973,189,440,70,0,699,699,
14,Colquitt,Norman Park,2586,447,743,208,0,1398,1398,
15,Colquitt,Robinson,860,235,200,54,0,489,489,
16,Colquitt,Thigpen,251,101,46,19,0,166,166,
17,Colquitt,Tyty,543,225,76,35,0,336,336,
18,Colquitt,Warrior,971,276,253,69,0,598,598,
