index,County,Precinct,Registered Voters,Keith F. Allen (I) (Rep)_Election Day Votes,Keith F. Allen (I) (Rep)_Advanced Voting Votes,Keith F. Allen (I) (Rep)_Absentee by Mail Votes,Keith F. Allen (I) (Rep)_Provisional Votes,Keith F. Allen (I) (Rep)_Choice Total,Total,
0,Colquitt,Shaw,3487,167,490,244,0,901,901,
1,Colquitt,Moultrie,4809,470,1452,458,1,2381,2381,
2,Colquitt,Autreyville,1512,287,452,91,1,831,831,
3,Colquitt,Bridgecreek,1191,281,453,96,2,832,832,
4,Colquitt,Crosland,289,93,37,19,0,149,149,
5,Colquitt,Doerun,619,186,131,34,0,351,351,
6,Colquitt,Funston,1030,297,282,73,3,655,655,
7,Colquitt,Hamilton,784,270,208,52,0,530,530,
8,Colquitt,Hartsfield,408,176,89,43,1,309,309,
9,Colquitt,Hopewell,1670,288,634,138,2,1062,1062,
10,Colquitt,Lee,1094,224,304,83,0,611,611,
11,Colquitt,Millcreek,422,113,138,41,0,292,292,
12,Colquitt,Monk,1555,361,481,110,0,952,952,
13,Colquitt,Murphy,973,194,452,68,0,714,714,
14,Colquitt,Norman Park,2586,462,755,205,0,1422,1422,
15,Colquitt,Robinson,860,242,209,56,0,507,507,
16,Colquitt,Thigpen,251,103,46,18,0,167,167,
17,Colquitt,Tyty,543,231,81,35,0,347,347,
18,Colquitt,Warrior,971,288,262,70,0,620,620,
