index,County,Precinct,Registered Voters,Lynn G. Purvis (I) (Rep)_Election Day Votes,Lynn G. Purvis (I) (Rep)_Advanced Voting Votes,Lynn G. Purvis (I) (Rep)_Absentee by Mail Votes,Lynn G. Purvis (I) (Rep)_Provisional Votes,Lynn G. Purvis (I) (Rep)_Choice Total,Total,
0,Colquitt,Shaw,3487,163,483,250,0,896,896,
1,Colquitt,Moultrie,4809,468,1469,475,1,2413,2413,
2,Colquitt,Autreyville,1512,285,444,83,2,814,814,
3,Colquitt,Bridgecreek,1191,282,459,94,2,837,837,
4,Colquitt,Crosland,289,90,39,19,0,148,148,
5,Colquitt,Doerun,619,186,132,35,0,353,353,
6,Colquitt,Funston,1030,291,279,71,3,644,644,
7,Colquitt,Hamilton,784,266,207,52,0,525,525,
8,Colquitt,Hartsfield,408,174,89,43,1,307,307,
9,Colquitt,Hopewell,1670,290,639,135,2,1066,1066,
10,Colquitt,Lee,1094,227,303,84,0,614,614,
11,Colquitt,Millcreek,422,113,133,42,0,288,288,
12,Colquitt,Monk,1555,360,486,116,0,962,962,
13,Colquitt,Murphy,973,194,444,62,0,700,700,
14,Colquitt,Norman Park,2586,459,761,204,0,1424,1424,
15,Colquitt,Robinson,860,241,210,56,0,507,507,
16,Colquitt,Thigpen,251,101,46,16,0,163,163,
17,Colquitt,Tyty,543,232,81,35,0,348,348,
18,Colquitt,Warrior,971,295,261,69,0,625,625,
