index,County,Precinct,Registered Voters,Johnny Hardin (I) (Rep)_Election Day Votes,Johnny Hardin (I) (Rep)_Advanced Voting Votes,Johnny Hardin (I) (Rep)_Absentee by Mail Votes,Johnny Hardin (I) (Rep)_Provisional Votes,Johnny Hardin (I) (Rep)_Choice Total,Total,
0,Colquitt,Moultrie,4809,12,26,12,0,50,50,
1,Colquitt,Hopewell,1670,289,645,135,2,1071,1071,
2,Colquitt,Lee,1094,225,299,82,0,606,606,
3,Colquitt,Robinson,860,240,211,58,0,509,509,
