index,County,Precinct,Registered Voters,Chris Hunnicutt (I) (Rep)_Election Day Votes,Chris Hunnicutt (I) (Rep)_Advanced Voting Votes,Chris Hunnicutt (I) (Rep)_Absentee by Mail Votes,Chris Hunnicutt (I) (Rep)_Provisional Votes,Chris Hunnicutt (I) (Rep)_Choice Total,Total,
0,Colquitt,Crosland,289,93,40,19,0,152,152,
1,Colquitt,Norman Park,2586,438,688,191,0,1317,1317,
2,Colquitt,Tyty,543,233,82,35,0,350,350,
3,Colquitt,Warrior,971,296,265,69,0,630,630,
