index,County,Precinct,Registered Voters,Sam Watson (I) (Rep)_Election Day Votes,Sam Watson (I) (Rep)_Advanced Voting Votes,Sam Watson (I) (Rep)_Absentee by Mail Votes,Sam Watson (I) (Rep)_Provisional Votes,Sam Watson (I) (Rep)_Choice Total,Total,
0,Colquitt,Shaw,3487,158,470,227,0,855,855,
1,Colquitt,Moultrie,4809,475,1451,456,0,2382,2382,
2,Colquitt,Autreyville,1512,289,453,88,2,832,832,
3,Colquitt,Crosland,289,93,40,20,0,153,153,
4,Colquitt,Hopewell,1670,290,645,132,3,1070,1070,
5,Colquitt,Lee,1094,227,303,82,0,612,612,
6,Colquitt,Murphy,973,193,451,65,0,709,709,
7,Colquitt,Norman Park,2586,463,758,199,0,1420,1420,
8,Colquitt,Robinson,860,245,215,56,0,516,516,
9,Colquitt,Tyty,543,233,81,34,0,348,348,
10,Colquitt,Warrior,971,293,266,67,0,626,626,
