index,County,Precinct,Registered Voters,Michael Bennett (Rep)_Election Day Votes,Michael Bennett (Rep)_Advanced Voting Votes,Michael Bennett (Rep)_Absentee by Mail Votes,Michael Bennett (Rep)_Provisional Votes,Michael Bennett (Rep)_Choice Total,David Cook (Dem)_Election Day Votes,David Cook (Dem)_Advanced Voting Votes,David Cook (Dem)_Absentee by Mail Votes,David Cook (Dem)_Provisional Votes,David Cook (Dem)_Choice Total,James Herman Fulghum (Ind)_Election Day Votes,James Herman Fulghum (Ind)_Advanced Voting Votes,James Herman Fulghum (Ind)_Absentee by Mail Votes,James Herman Fulghum (Ind)_Provisional Votes,James Herman Fulghum (Ind)_Choice Total,R C Oglesby (I) (Ind)_Election Day Votes,R C Oglesby (I) (Ind)_Advanced Voting Votes,R C Oglesby (I) (Ind)_Absentee by Mail Votes,R C Oglesby (I) (Ind)_Provisional Votes,R C Oglesby (I) (Ind)_Choice Total,Total,
0,Hart,Hartwell,6451,67,247,69,0,383,59,176,88,0,323,11,67,37,0,115,70,141,164,0,375,1196,
1,Hart,Cokesbury,1162,66,127,27,0,220,43,67,47,0,157,22,34,8,0,64,44,72,47,0,163,604,
2,Hart,Bio,1374,7,17,3,0,27,8,23,14,0,45,3,4,6,0,13,4,36,22,0,62,147,
