index,County,Precinct,Registered Voters,Kimberly H. Pierce (I) (Rep)_Election Day Votes,Kimberly H. Pierce (I) (Rep)_Advanced Voting Votes,Kimberly H. Pierce (I) (Rep)_Absentee by Mail Votes,Kimberly H. Pierce (I) (Rep)_Provisional Votes,Kimberly H. Pierce (I) (Rep)_Choice Total,Total,
0,Hart,Hartwell,6451,268,1131,350,1,1750,1750,
1,Hart,Bowersville,1395,110,169,24,0,303,303,
