index,County,Precinct,Registered Voters,Mike Cleveland (I) (Rep)_Election Day Votes,Mike Cleveland (I) (Rep)_Advanced Voting Votes,Mike Cleveland (I) (Rep)_Absentee by Mail Votes,Mike Cleveland (I) (Rep)_Provisional Votes,Mike Cleveland (I) (Rep)_Choice Total,Total,
0,Hart,Hartwell,6451,615,2635,866,2,4118,4118,
1,Hart,Goldmine,1901,390,662,211,0,1263,1263,
2,Hart,Cokesbury,1162,207,360,134,0,701,701,
3,Hart,Reed Creek,2990,482,1269,425,1,2177,2177,
4,Hart,Bowersville,1395,352,468,95,0,915,915,
5,Hart,Shoal Creek,1656,373,573,213,0,1159,1159,
6,Hart,Bio,1374,271,544,151,0,966,966,
