index,County,Precinct,Registered Voters,Alan Powell (I) (Rep)_Election Day Votes,Alan Powell (I) (Rep)_Advanced Voting Votes,Alan Powell (I) (Rep)_Absentee by Mail Votes,Alan Powell (I) (Rep)_Provisional Votes,Alan Powell (I) (Rep)_Choice Total,Alisha Allen (Dem)_Election Day Votes,Alisha Allen (Dem)_Advanced Voting Votes,Alisha Allen (Dem)_Absentee by Mail Votes,Alisha Allen (Dem)_Provisional Votes,Alisha Allen (Dem)_Choice Total,Total,
0,Hart,Hartwell,6451,501,2334,669,2,3506,159,533,412,0,1104,4610,
1,Hart,Goldmine,1901,361,605,168,0,1134,53,106,71,1,231,1365,
2,Hart,Cokesbury,1162,159,299,78,0,536,70,118,92,0,280,816,
3,Hart,Reed Creek,2990,462,1202,337,1,2002,62,130,142,0,334,2336,
4,Hart,Bowersville,1395,333,430,83,0,846,33,64,27,0,124,970,
5,Hart,Shoal Creek,1656,362,552,184,0,1098,31,53,55,0,139,1237,
6,Hart,Bio,1374,253,489,106,0,848,30,105,70,0,205,1053,
