index,County,Precinct,Registered Voters,Mike Adams (I) (Rep)_Election Day Votes,Mike Adams (I) (Rep)_Advanced Voting Votes,Mike Adams (I) (Rep)_Absentee by Mail Votes,Mike Adams (I) (Rep)_Provisional Votes,Mike Adams (I) (Rep)_Choice Total,Total,
0,Hart,Hartwell,6451,603,2608,853,2,4066,4066,
1,Hart,Goldmine,1901,387,666,213,0,1266,1266,
2,Hart,Cokesbury,1162,202,354,128,0,684,684,
3,Hart,Reed Creek,2990,489,1261,394,1,2145,2145,
4,Hart,Bowersville,1395,356,464,89,0,909,909,
5,Hart,Shoal Creek,1656,373,580,208,0,1161,1161,
6,Hart,Bio,1374,270,540,134,0,944,944,
