index,County,Precinct,Registered Voters,Lee Anderson (I) (Rep)_Election Day Votes,Lee Anderson (I) (Rep)_Advanced Voting Votes,Lee Anderson (I) (Rep)_Absentee by Mail Votes,Lee Anderson (I) (Rep)_Provisional Votes,Lee Anderson (I) (Rep)_Choice Total,Total,
0,Hart,Hartwell,6451,576,2449,754,1,3780,3780,
1,Hart,Goldmine,1901,381,642,201,0,1224,1224,
2,Hart,Cokesbury,1162,187,320,95,0,602,602,
3,Hart,Reed Creek,2990,474,1217,349,1,2041,2041,
4,Hart,Bowersville,1395,337,442,76,0,855,855,
5,Hart,Shoal Creek,1656,364,565,196,0,1125,1125,
6,Hart,Bio,1374,249,505,121,0,875,875,
