index,County,Precinct,Registered Voters,Dean H. Teasley (I) (Rep)_Election Day Votes,Dean H. Teasley (I) (Rep)_Advanced Voting Votes,Dean H. Teasley (I) (Rep)_Absentee by Mail Votes,Dean H. Teasley (I) (Rep)_Provisional Votes,Dean H. Teasley (I) (Rep)_Choice Total,Total,
0,Hart,Hartwell,6451,599,2581,842,2,4024,4024,
1,Hart,Goldmine,1901,389,668,213,0,1270,1270,
2,Hart,Cokesbury,1162,202,346,123,0,671,671,
3,Hart,Reed Creek,2990,491,1260,386,1,2138,2138,
4,Hart,Bowersville,1395,351,465,90,0,906,906,
5,Hart,Shoal Creek,1656,372,579,208,0,1159,1159,
6,Hart,Bio,1374,272,528,136,0,936,936,
