index,County,Precinct,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
0,Hart,Hartwell,6451,574,2479,792,2,3847,3847,
1,Hart,Goldmine,1901,378,641,206,0,1225,1225,
2,Hart,Cokesbury,1162,188,334,107,0,629,629,
3,Hart,Reed Creek,2990,472,1222,367,1,2062,2062,
4,Hart,Bowersville,1395,344,448,85,0,877,877,
5,Hart,Shoal Creek,1656,368,563,205,0,1136,1136,
6,Hart,Bio,1374,255,502,126,0,883,883,
