County,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total Votes
Carroll,83847.0,12842.0,25941.0,6706.0,32.0,45521.0,45521.0
Coweta,102110.0,21303.0,28315.0,13373.0,13.0,63004.0,63004.0
Heard,7762.0,1688.0,2277.0,779.0,1.0,4745.0,4745.0
Meriwether,15337.0,2719.0,3938.0,1592.0,4.0,8253.0,8253.0
Troup,42964.0,5972.0,12850.0,4254.0,57.0,23133.0,23133.0
