County,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total Votes
Irwin,6113.0,769.0,2325.0,456.0,3.0,3553.0,3553.0
Tift,24449.0,3350.0,8289.0,1875.0,19.0,13533.0,13533.0
Turner,5582.0,564.0,2122.0,347.0,0.0,3033.0,3033.0
Worth,14469.0,3069.0,3711.0,1129.0,0.0,7909.0,7909.0
