County,Registered Voters,Natalie Paine (I) (Rep)_Election Day Votes,Natalie Paine (I) (Rep)_Advanced Voting Votes,Natalie Paine (I) (Rep)_Absentee by Mail Votes,Natalie Paine (I) (Rep)_Provisional Votes,Natalie Paine (I) (Rep)_Choice Total,Jared T. Williams (Dem)_Election Day Votes,Jared T. Williams (Dem)_Advanced Voting Votes,Jared T. Williams (Dem)_Absentee by Mail Votes,Jared T. Williams (Dem)_Provisional Votes,Jared T. Williams (Dem)_Choice Total,Total Votes
Burke,16556.0,1934.0,2833.0,715.0,0.0,5482.0,1436.0,1790.0,1760.0,0.0,4986.0,10468.0
Columbia,127380.0,13797.0,30659.0,7968.0,45.0,52469.0,4732.0,13692.0,8351.0,26.0,26801.0,79270.0
Richmond,134749.0,8703.0,12654.0,7288.0,29.0,28674.0,11733.0,24876.0,20084.0,145.0,56838.0,85512.0
