County,Registered Voters,Brad Smith (I) (Rep)_Election Day Votes,Brad Smith (I) (Rep)_Advanced Voting Votes,Brad Smith (I) (Rep)_Absentee by Mail Votes,Brad Smith (I) (Rep)_Provisional Votes,Brad Smith (I) (Rep)_Choice Total,Total Votes
Banks,12898.0,1706.0,5196.0,1115.0,11.0,8028.0,8028.0
Barrow,55605.0,6954.0,19325.0,5657.0,4.0,31940.0,31940.0
Jackson,51951.0,5637.0,22045.0,5623.0,6.0,33311.0,33311.0
