County,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total Votes
Clayton,122612.0,1751.0,4464.0,2492.0,21.0,8728.0,10389.0,33587.0,18396.0,247.0,62619.0,71347.0
Cobb,141230.0,4767.0,10750.0,7971.0,17.0,23505.0,8721.0,30263.0,25029.0,90.0,64103.0,87608.0
Douglas,102540.0,4539.0,14631.0,5251.0,11.0,24432.0,6010.0,23061.0,14038.0,44.0,43153.0,67585.0
Fayette,21481.0,695.0,2174.0,1008.0,4.0,3881.0,936.0,3910.0,2827.0,22.0,7695.0,11576.0
Fulton,110016.0,788.0,2689.0,1191.0,30.0,4698.0,6355.0,39989.0,15414.0,290.0,62048.0,66746.0
Henry,78072.0,1980.0,10603.0,3321.0,6.0,15910.0,3939.0,24175.0,10789.0,28.0,38931.0,54841.0
