County,Registered Voters,Timothy G. Vaughn (I) (Rep)_Election Day Votes,Timothy G. Vaughn (I) (Rep)_Advanced Voting Votes,Timothy G. Vaughn (I) (Rep)_Absentee by Mail Votes,Timothy G. Vaughn (I) (Rep)_Provisional Votes,Timothy G. Vaughn (I) (Rep)_Choice Total,Total Votes
Bleckley,0.0,1107.0,2991.0,755.0,1.0,4854.0,4854.0
Dodge,11439.0,2385.0,3030.0,917.0,5.0,6337.0,6337.0
Montgomery,5463.0,1186.0,1603.0,469.0,0.0,3258.0,3258.0
Pulaski,5687.0,404.0,2425.0,422.0,1.0,3252.0,3252.0
Telfair,6032.0,994.0,1614.0,479.0,5.0,3092.0,3092.0
Wheeler,0.0,535.0,1021.0,248.0,0.0,1804.0,1804.0
