County,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total Votes
Chattahoochee,0.0,305.0,567.0,219.0,3.0,1094.0,1094.0
Harris,25626.0,4016.0,5056.0,2675.0,11.0,11758.0,11758.0
Marion,4913.0,633.0,1227.0,589.0,0.0,2449.0,2449.0
Muscogee,130878.0,10050.0,33198.0,19478.0,31.0,62757.0,62757.0
Talbot,4563.0,779.0,919.0,954.0,1.0,2653.0,2653.0
Taylor,5400.0,466.0,1576.0,588.0,7.0,2637.0,2637.0
