County,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total Votes
Brooks,11154.0,1663.0,2803.0,978.0,5.0,5449.0,5449.0
Colquitt,25054.0,4708.0,6903.0,1897.0,11.0,13519.0,13519.0
Echols,2156.0,227.0,942.0,133.0,0.0,1302.0,1302.0
Lowndes,75356.0,7134.0,22405.0,6006.0,287.0,35832.0,35832.0
Thomas,30028.0,3457.0,10681.0,2647.0,2.0,16787.0,16787.0
