County,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total Votes
DeKalb,298664.0,4181.0,8101.0,5703.0,66.0,18051.0,20550.0,87684.0,56818.0,661.0,165713.0,183764.0
Newton,65974.0,5440.0,5435.0,3167.0,10.0,14052.0,6001.0,11374.0,9287.0,19.0,26681.0,40733.0
Rockdale,65505.0,2380.0,7124.0,2867.0,11.0,12382.0,3647.0,18205.0,9338.0,22.0,31212.0,43594.0
