County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total Votes
Appling,11399.0,1183.0,2785.0,779.0,5.0,4752.0,671.0,1453.0,489.0,6.0,2619.0,7371.0
Atkinson,4799.0,586.0,1001.0,156.0,1.0,1744.0,283.0,625.0,104.0,0.0,1012.0,2756.0
Bacon,6720.0,368.0,2008.0,339.0,1.0,2716.0,137.0,932.0,244.0,1.0,1314.0,4030.0
Baker,2258.0,246.0,400.0,198.0,0.0,844.0,135.0,243.0,129.0,2.0,509.0,1353.0
Baldwin,26721.0,2396.0,7093.0,2754.0,2.0,12245.0,849.0,2628.0,1207.0,3.0,4687.0,16932.0
Banks,12898.0,1255.0,3637.0,867.0,9.0,5768.0,448.0,1603.0,414.0,4.0,2469.0,8237.0
Barrow,55605.0,5648.0,15287.0,5278.0,4.0,26217.0,1733.0,5802.0,1953.0,2.0,9490.0,35707.0
Bartow,74409.0,8900.0,18687.0,7220.0,14.0,34821.0,2942.0,6963.0,2689.0,10.0,12604.0,47425.0
Ben Hill,9854.0,528.0,2813.0,729.0,0.0,4070.0,219.0,1401.0,375.0,0.0,1995.0,6065.0
Berrien,11275.0,1424.0,2746.0,708.0,4.0,4882.0,631.0,1372.0,336.0,3.0,2342.0,7224.0
Bibb,107979.0,11933.0,23505.0,13117.0,119.0,48674.0,4102.0,8604.0,5297.0,37.0,18040.0,66714.0
Bleckley,0.0,828.0,2157.0,607.0,1.0,3593.0,356.0,969.0,322.0,0.0,1647.0,5240.0
Brantley,11888.0,1354.0,2756.0,544.0,5.0,4659.0,577.0,1368.0,261.0,2.0,2208.0,6867.0
Brooks,11154.0,1207.0,2190.0,1000.0,4.0,4401.0,569.0,947.0,453.0,0.0,1969.0,6370.0
Bryan,30608.0,2546.0,9827.0,2499.0,6.0,14878.0,780.0,3373.0,948.0,0.0,5101.0,19979.0
Bulloch,44738.0,6335.0,9666.0,4213.0,29.0,20243.0,2466.0,3967.0,1675.0,17.0,8125.0,28368.0
Burke,16556.0,2129.0,2749.0,1295.0,0.0,6173.0,1044.0,1549.0,990.0,0.0,3583.0,9756.0
Butts,17154.0,826.0,5440.0,1349.0,1.0,7616.0,314.0,2404.0,606.0,2.0,3326.0,10942.0
Calhoun,3184.0,403.0,586.0,367.0,0.0,1356.0,181.0,290.0,170.0,0.0,641.0,1997.0
Camden,34950.0,3352.0,9195.0,3317.0,4.0,15868.0,1239.0,3652.0,1281.0,2.0,6174.0,22042.0
Candler,6300.0,1355.0,958.0,439.0,0.0,2752.0,605.0,452.0,250.0,0.0,1307.0,4059.0
Carroll,83847.0,9898.0,20592.0,6215.0,27.0,36732.0,3720.0,8216.0,2530.0,10.0,14476.0,51208.0
Catoosa,45715.0,4440.0,14713.0,3341.0,14.0,22508.0,1429.0,4907.0,1304.0,8.0,7648.0,30156.0
Charlton,6552.0,830.0,1459.0,380.0,1.0,2670.0,393.0,761.0,213.0,1.0,1368.0,4038.0
Chatham,200388.0,26320.0,38580.0,28699.0,198.0,93797.0,8813.0,13037.0,9845.0,61.0,31756.0,125553.0
