County,Registered Voters,Daphne Jarriel Totten (Rep)_Election Day Votes,Daphne Jarriel Totten (Rep)_Advanced Voting Votes,Daphne Jarriel Totten (Rep)_Absentee by Mail Votes,Daphne Jarriel Totten (Rep)_Provisional Votes,Daphne Jarriel Totten (Rep)_Choice Total,Total Votes
Bulloch,44738.0,8015.0,11678.0,4256.0,34.0,23983.0,23983.0
Effingham,44273.0,8375.0,14893.0,3510.0,18.0,26796.0,26796.0
Jenkins,5066.0,716.0,1414.0,488.0,3.0,2621.0,2621.0
Screven,0.0,1498.0,2541.0,776.0,12.0,4827.0,4827.0
