County,Registered Voters,George R. Christian (I) (Rep)_Election Day Votes,George R. Christian (I) (Rep)_Advanced Voting Votes,George R. Christian (I) (Rep)_Absentee by Mail Votes,George R. Christian (I) (Rep)_Provisional Votes,George R. Christian (I) (Rep)_Choice Total,Total Votes
Habersham,28264.0,2899.0,11656.0,3270.0,16.0,17841.0,17841.0
Rabun,13072.0,1301.0,4914.0,2031.0,0.0,8246.0,8246.0
Stephens,0.0,1380.0,7168.0,1668.0,3.0,10219.0,10219.0
