County,Registered Voters,Dick Perryman (I) (Rep)_Election Day Votes,Dick Perryman (I) (Rep)_Advanced Voting Votes,Dick Perryman (I) (Rep)_Absentee by Mail Votes,Dick Perryman (I) (Rep)_Provisional Votes,Dick Perryman (I) (Rep)_Choice Total,Total Votes
Atkinson,4799.0,789.0,1495.0,224.0,1.0,2509.0,2509.0
Berrien,11275.0,2012.0,4049.0,943.0,9.0,7013.0,7013.0
Clinch,4345.0,694.0,1342.0,258.0,1.0,2295.0,2295.0
Cook,10632.0,1470.0,3845.0,782.0,0.0,6097.0,6097.0
Lanier,5462.0,612.0,2026.0,395.0,0.0,3033.0,3033.0
