County,Registered Voters,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_Choice Total,Total Votes
Fannin,20399.0,4239.0,6132.0,2696.0,20.0,13087.0,13087.0
Gilmer,22264.0,4464.0,7256.0,2605.0,11.0,14336.0,14336.0
Pickens,23766.0,6160.0,6647.0,2159.0,7.0,14973.0,14973.0
