County,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total Votes
Catoosa,45715.0,5096.0,16740.0,2910.0,20.0,24766.0,992.0,3741.0,1939.0,4.0,6676.0,31442.0
Chattooga,14143.0,2360.0,4269.0,1040.0,4.0,7673.0,392.0,871.0,607.0,2.0,1872.0,9545.0
Dade,11660.0,1940.0,3319.0,628.0,6.0,5893.0,253.0,638.0,330.0,1.0,1222.0,7115.0
Floyd,60650.0,7670.0,14035.0,4244.0,162.0,26111.0,2193.0,4664.0,3464.0,31.0,10352.0,36463.0
Gordon,36429.0,6691.0,9496.0,2407.0,14.0,18608.0,1081.0,1916.0,1365.0,0.0,4362.0,22970.0
Haralson,20667.0,4210.0,6108.0,1729.0,4.0,12051.0,383.0,736.0,649.0,0.0,1768.0,13819.0
Murray,22284.0,3743.0,7444.0,1339.0,0.0,12526.0,531.0,1076.0,640.0,0.0,2247.0,14773.0
Paulding,114945.0,9740.0,35085.0,9645.0,58.0,54528.0,3617.0,14885.0,9956.0,35.0,28493.0,83021.0
Pickens,11682.0,2519.0,2025.0,539.0,5.0,5088.0,196.0,269.0,232.0,0.0,697.0,5785.0
Polk,24189.0,2796.0,8821.0,1625.0,12.0,13254.0,586.0,1883.0,1014.0,8.0,3491.0,16745.0
Walker,42924.0,5501.0,13754.0,3451.0,8.0,22714.0,989.0,2525.0,2032.0,2.0,5548.0,28262.0
Whitfield,54749.0,8620.0,12627.0,3423.0,45.0,24715.0,2739.0,4790.0,2598.0,17.0,10144.0,34859.0
