County,Registered Voters,Jack Browning (I) (Rep)_Election Day Votes,Jack Browning (I) (Rep)_Advanced Voting Votes,Jack Browning (I) (Rep)_Absentee by Mail Votes,Jack Browning (I) (Rep)_Provisional Votes,Jack Browning (I) (Rep)_Choice Total,Total Votes
Haralson,20667.0,4453.0,6528.0,2084.0,4.0,13069.0,13069.0
Polk,24189.0,3159.0,9764.0,2106.0,17.0,15046.0,15046.0
