County,Registered Voters,Austin Scott (I) (Rep)_Election Day Votes,Austin Scott (I) (Rep)_Advanced Voting Votes,Austin Scott (I) (Rep)_Absentee by Mail Votes,Austin Scott (I) (Rep)_Provisional Votes,Austin Scott (I) (Rep)_Choice Total,Lindsay Holliday (Dem)_Election Day Votes,Lindsay Holliday (Dem)_Advanced Voting Votes,Lindsay Holliday (Dem)_Absentee by Mail Votes,Lindsay Holliday (Dem)_Provisional Votes,Lindsay Holliday (Dem)_Choice Total,Total Votes
Atkinson,4799.0,678.0,1345.0,177.0,1.0,2201.0,206.0,380.0,118.0,0.0,704.0,2905.0
Ben Hill,9854.0,450.0,3160.0,558.0,0.0,4168.0,316.0,1241.0,668.0,0.0,2225.0,6393.0
Berrien,11275.0,1809.0,3757.0,774.0,9.0,6349.0,307.0,526.0,313.0,1.0,1147.0,7496.0
Bibb,36618.0,3459.0,7027.0,3095.0,7.0,13588.0,1996.0,5391.0,3598.0,17.0,11002.0,24590.0
Bleckley,0.0,946.0,2770.0,629.0,2.0,4347.0,281.0,561.0,399.0,0.0,1241.0,5588.0
Brooks,11154.0,1394.0,2292.0,536.0,5.0,4227.0,484.0,1057.0,1058.0,3.0,2602.0,6829.0
Colquitt,25054.0,4243.0,6135.0,1436.0,10.0,11824.0,1037.0,1677.0,1082.0,3.0,3799.0,15623.0
Cook,10632.0,1126.0,3280.0,511.0,0.0,4917.0,497.0,935.0,477.0,1.0,1910.0,6827.0
Dodge,11439.0,2295.0,2783.0,742.0,5.0,5825.0,524.0,927.0,514.0,0.0,1965.0,7790.0
Houston,105315.0,11953.0,22086.0,8792.0,49.0,42880.0,6095.0,13321.0,11091.0,45.0,30552.0,73432.0
Irwin,6113.0,645.0,2109.0,388.0,3.0,3145.0,229.0,478.0,235.0,1.0,943.0,4088.0
Jones,0.0,3008.0,5663.0,1355.0,5.0,10031.0,806.0,2217.0,1579.0,1.0,4603.0,14634.0
Lanier,5462.0,473.0,1771.0,270.0,0.0,2514.0,184.0,471.0,271.0,0.0,926.0,3440.0
Lowndes,75356.0,5105.0,16361.0,3435.0,167.0,25068.0,2609.0,10039.0,5328.0,245.0,18221.0,43289.0
Monroe,21138.0,3069.0,6893.0,1118.0,6.0,11086.0,663.0,2182.0,1270.0,2.0,4117.0,15203.0
Pulaski,5687.0,333.0,2148.0,322.0,1.0,2804.0,150.0,624.0,306.0,0.0,1080.0,3884.0
Telfair,6032.0,905.0,1439.0,357.0,2.0,2703.0,292.0,522.0,594.0,7.0,1415.0,4118.0
Thomas,30028.0,2707.0,8644.0,1770.0,0.0,13121.0,1371.0,4417.0,2211.0,4.0,8003.0,21124.0
Tift,24449.0,2803.0,7059.0,1393.0,12.0,11267.0,995.0,2364.0,1271.0,15.0,4645.0,15912.0
Turner,5582.0,397.0,1816.0,254.0,1.0,2468.0,301.0,676.0,266.0,1.0,1244.0,3712.0
Twiggs,6304.0,805.0,1192.0,312.0,0.0,2309.0,415.0,830.0,697.0,4.0,1946.0,4255.0
Wilcox,4661.0,731.0,1307.0,345.0,0.0,2383.0,266.0,334.0,200.0,0.0,800.0,3183.0
Wilkinson,6470.0,1275.0,1109.0,263.0,4.0,2651.0,490.0,880.0,579.0,2.0,1951.0,4602.0
Worth,14469.0,2751.0,3277.0,797.0,0.0,6825.0,541.0,919.0,763.0,0.0,2223.0,9048.0
