County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total Votes
Appling,11399.0,1368.0,2958.0,960.0,9.0,5295.0,524.0,1383.0,344.0,2.0,2253.0,7548.0
Atkinson,4799.0,655.0,1178.0,210.0,0.0,2043.0,227.0,480.0,51.0,1.0,759.0,2802.0
Bacon,6720.0,383.0,2347.0,453.0,1.0,3184.0,118.0,643.0,139.0,1.0,901.0,4085.0
Baker,2258.0,265.0,456.0,233.0,1.0,955.0,123.0,192.0,96.0,1.0,412.0,1367.0
Baldwin,26721.0,2473.0,7881.0,3350.0,2.0,13706.0,794.0,1951.0,669.0,3.0,3417.0,17123.0
Banks,12898.0,1342.0,4120.0,1062.0,10.0,6534.0,359.0,1135.0,236.0,4.0,1734.0,8268.0
Barrow,55605.0,5982.0,17052.0,6164.0,6.0,29204.0,1447.0,4156.0,1131.0,0.0,6734.0,35938.0
Bartow,74409.0,9705.0,21199.0,8366.0,17.0,39287.0,2283.0,4783.0,1647.0,6.0,8719.0,48006.0
Ben Hill,9854.0,562.0,3146.0,885.0,0.0,4593.0,186.0,1077.0,234.0,0.0,1497.0,6090.0
Berrien,11275.0,1565.0,3213.0,874.0,6.0,5658.0,497.0,949.0,179.0,1.0,1626.0,7284.0
Bibb,107979.0,12329.0,25120.0,15382.0,120.0,52951.0,3777.0,7119.0,3270.0,36.0,14202.0,67153.0
Bleckley,0.0,951.0,2483.0,793.0,2.0,4229.0,241.0,690.0,155.0,0.0,1086.0,5315.0
Brantley,11888.0,1481.0,3212.0,664.0,7.0,5364.0,465.0,1014.0,155.0,0.0,1634.0,6998.0
Brooks,11154.0,1304.0,2352.0,1164.0,0.0,4820.0,471.0,811.0,320.0,3.0,1605.0,6425.0
Bryan,30608.0,2726.0,11086.0,2946.0,6.0,16764.0,603.0,2202.0,528.0,0.0,3333.0,20097.0
Bulloch,44738.0,7093.0,11033.0,5030.0,35.0,23191.0,1773.0,2709.0,946.0,12.0,5440.0,28631.0
Burke,16556.0,2345.0,3334.0,1899.0,0.0,7578.0,857.0,1015.0,400.0,0.0,2272.0,9850.0
Butts,17154.0,881.0,6166.0,1565.0,3.0,8615.0,255.0,1758.0,418.0,0.0,2431.0,11046.0
Calhoun,3184.0,453.0,669.0,416.0,0.0,1538.0,139.0,208.0,126.0,0.0,473.0,2011.0
Camden,34950.0,3656.0,10378.0,3911.0,4.0,17949.0,954.0,2617.0,740.0,2.0,4313.0,22262.0
Candler,6300.0,1545.0,1116.0,518.0,1.0,3180.0,457.0,315.0,175.0,0.0,947.0,4127.0
Carroll,83847.0,10910.0,23446.0,7390.0,31.0,41777.0,2778.0,5670.0,1462.0,6.0,9916.0,51693.0
Catoosa,45715.0,4855.0,16491.0,4055.0,20.0,25421.0,1100.0,3430.0,666.0,2.0,5198.0,30619.0
Charlton,6552.0,913.0,1667.0,475.0,1.0,3056.0,320.0,584.0,134.0,1.0,1039.0,4095.0
Chatham,200388.0,27738.0,41963.0,32935.0,192.0,102828.0,7775.0,10253.0,6017.0,69.0,24114.0,126942.0
Chattahoochee,0.0,305.0,545.0,206.0,2.0,1058.0,107.0,182.0,65.0,1.0,355.0,1413.0
Chattooga,14143.0,2129.0,4054.0,1357.0,5.0,7545.0,552.0,1012.0,284.0,1.0,1849.0,9394.0
Cherokee,190531.0,25054.0,61178.0,31286.0,23.0,117541.0,4666.0,11232.0,3927.0,2.0,19827.0,137368.0
Clarke,76504.0,6915.0,19096.0,15557.0,35.0,41603.0,1670.0,3462.0,2075.0,16.0,7223.0,48826.0
Clay,2053.0,216.0,517.0,294.0,0.0,1027.0,64.0,160.0,89.0,0.0,313.0,1340.0
Clayton,193326.0,14765.0,44937.0,24158.0,299.0,84159.0,4802.0,12766.0,5834.0,145.0,23547.0,107706.0
Clinch,4345.0,548.0,1066.0,224.0,0.0,1838.0,167.0,341.0,80.0,1.0,589.0,2427.0
Cobb,537611.0,55150.0,139570.0,123580.0,329.0,318629.0,12635.0,29093.0,17602.0,122.0,59452.0,378081.0
Coffee,25114.0,2520.0,6513.0,1342.0,5.0,10380.0,827.0,2133.0,399.0,3.0,3362.0,13742.0
Colquitt,25054.0,3997.0,6034.0,1926.0,7.0,11964.0,1048.0,1449.0,441.0,4.0,2942.0,14906.0
Columbia,127380.0,15122.0,36082.0,13506.0,51.0,64761.0,2882.0,7108.0,2284.0,13.0,12287.0,77048.0
Cook,10632.0,1247.0,3192.0,752.0,0.0,5191.0,331.0,921.0,197.0,0.0,1449.0,6640.0
Coweta,102110.0,18541.0,26385.0,15242.0,13.0,60181.0,4402.0,5771.0,2543.0,7.0,12723.0,72904.0
Crawford,8512.0,1038.0,2555.0,779.0,2.0,4374.0,305.0,780.0,229.0,0.0,1314.0,5688.0
Crisp,12554.0,1133.0,3510.0,1190.0,3.0,5836.0,330.0,975.0,325.0,1.0,1631.0,7467.0
Dade,11660.0,1703.0,2975.0,774.0,3.0,5455.0,389.0,779.0,148.0,1.0,1317.0,6772.0
Dawson,21529.0,2086.0,8083.0,2527.0,2.0,12698.0,432.0,1750.0,338.0,0.0,2520.0,15218.0
DeKalb,546711.0,35836.0,157662.0,105733.0,975.0,300206.0,9080.0,29432.0,14407.0,306.0,53225.0,353431.0
Decatur,16618.0,1579.0,4952.0,1717.0,10.0,8258.0,546.0,1576.0,469.0,3.0,2594.0,10852.0
Dodge,11439.0,1995.0,2618.0,888.0,5.0,5506.0,652.0,870.0,267.0,0.0,1789.0,7295.0
Dooly,5949.0,640.0,1622.0,503.0,3.0,2768.0,227.0,595.0,158.0,0.0,980.0,3748.0
Dougherty,61172.0,8543.0,9649.0,7919.0,74.0,26185.0,2697.0,2849.0,1928.0,21.0,7495.0,33680.0
Douglas,102540.0,7753.0,27911.0,15216.0,38.0,50918.0,2583.0,9047.0,3422.0,14.0,15066.0,65984.0
Early,7320.0,968.0,1763.0,844.0,2.0,3577.0,340.0,630.0,194.0,1.0,1165.0,4742.0
Echols,2156.0,183.0,745.0,117.0,0.0,1045.0,54.0,202.0,18.0,0.0,274.0,1319.0
Effingham,44273.0,7197.0,13248.0,3949.0,16.0,24410.0,1713.0,3160.0,688.0,7.0,5568.0,29978.0
Elbert,12305.0,1679.0,3330.0,1480.0,0.0,6489.0,546.0,1052.0,425.0,0.0,2023.0,8512.0
Emanuel,13715.0,2257.0,2953.0,1210.0,1.0,6421.0,793.0,975.0,326.0,1.0,2095.0,8516.0
Evans,6135.0,515.0,1969.0,620.0,0.0,3104.0,153.0,555.0,148.0,0.0,856.0,3960.0
Fannin,20399.0,3310.0,5163.0,2660.0,16.0,11149.0,890.0,1163.0,473.0,5.0,2531.0,13680.0
Fayette,92307.0,7797.0,31521.0,15110.0,80.0,54508.0,1793.0,7019.0,2460.0,29.0,11301.0,65809.0
Floyd,60650.0,7968.0,15374.0,6831.0,143.0,30316.0,1868.0,3314.0,1146.0,38.0,6366.0,36682.0
Forsyth,163984.0,10806.0,70483.0,25557.0,43.0,106889.0,1987.0,11196.0,3274.0,7.0,16464.0,123353.0
Franklin,15146.0,1974.0,4563.0,1570.0,2.0,8109.0,535.0,1125.0,332.0,0.0,1992.0,10101.0
Fulton,806451.0,44244.0,253704.0,120452.0,2291.0,420691.0,11524.0,46760.0,16357.0,785.0,75426.0,496117.0
Gilmer,22264.0,3483.0,6075.0,2750.0,10.0,12318.0,1018.0,1544.0,498.0,1.0,3061.0,15379.0
Glascock,2039.0,288.0,578.0,173.0,0.0,1039.0,107.0,148.0,34.0,0.0,289.0,1328.0
Glynn,61952.0,5184.0,18663.0,7887.0,36.0,31770.0,1441.0,4699.0,1532.0,11.0,7683.0,39453.0
Gordon,36429.0,5938.0,8868.0,3112.0,6.0,17924.0,1551.0,2168.0,588.0,4.0,4311.0,22235.0
Grady,15442.0,1936.0,4230.0,1621.0,13.0,7800.0,610.0,1219.0,450.0,2.0,2281.0,10081.0
Greene,14171.0,1073.0,5500.0,2259.0,6.0,8838.0,305.0,1111.0,400.0,3.0,1819.0,10657.0
Gwinnett,581467.0,55115.0,169414.0,97862.0,445.0,322836.0,14973.0,40134.0,17780.0,150.0,73037.0,395873.0
Habersham,28264.0,2423.0,9756.0,3310.0,13.0,15502.0,616.0,2491.0,640.0,7.0,3754.0,19256.0
Hall,0.0,11775.0,42640.0,17579.0,0.0,71994.0,2845.0,8822.0,2684.0,0.0,14351.0,86345.0
Hancock,5827.0,581.0,1193.0,1028.0,2.0,2804.0,220.0,364.0,247.0,1.0,832.0,3636.0
Haralson,20667.0,3482.0,5244.0,1889.0,4.0,10619.0,996.0,1386.0,425.0,0.0,2807.0,13426.0
Harris,25626.0,5164.0,6731.0,3366.0,14.0,15275.0,1302.0,1477.0,586.0,2.0,3367.0,18642.0
Hart,16929.0,2204.0,5430.0,1967.0,4.0,9605.0,551.0,1285.0,349.0,0.0,2185.0,11790.0
Heard,7762.0,1341.0,1880.0,762.0,1.0,3984.0,359.0,487.0,152.0,1.0,999.0,4983.0
Henry,171905.0,12314.0,57612.0,22964.0,63.0,92953.0,3680.0,16327.0,4872.0,19.0,24898.0,117851.0
Houston,105315.0,13910.0,27646.0,15911.0,60.0,57527.0,3598.0,6844.0,3207.0,24.0,13673.0,71200.0
Irwin,6113.0,622.0,1864.0,458.0,3.0,2947.0,209.0,609.0,123.0,2.0,943.0,3890.0
Jackson,51951.0,4823.0,19405.0,5915.0,5.0,30148.0,1012.0,3599.0,996.0,1.0,5608.0,35756.0
Jasper,10432.0,1405.0,3206.0,1162.0,10.0,5783.0,350.0,805.0,230.0,3.0,1388.0,7171.0
Jeff Davis,8478.0,1104.0,2177.0,576.0,0.0,3857.0,377.0,703.0,136.0,0.0,1216.0,5073.0
Jefferson,11334.0,1435.0,2572.0,1148.0,7.0,5162.0,525.0,837.0,373.0,4.0,1739.0,6901.0
Jenkins,5066.0,597.0,1259.0,501.0,4.0,2361.0,208.0,365.0,182.0,0.0,755.0,3116.0
Johnson,5611.0,666.0,1472.0,455.0,0.0,2593.0,237.0,617.0,150.0,0.0,1004.0,3597.0
Jones,0.0,2920.0,5950.0,2293.0,6.0,11169.0,788.0,1679.0,496.0,0.0,2963.0,14132.0
Lamar,12839.0,1666.0,3623.0,1349.0,3.0,6641.0,482.0,1163.0,289.0,5.0,1939.0,8580.0
Lanier,5462.0,529.0,1687.0,410.0,0.0,2626.0,117.0,473.0,111.0,0.0,701.0,3327.0
Laurens,32880.0,5296.0,6982.0,3688.0,5.0,15971.0,1860.0,2404.0,1074.0,1.0,5339.0,21310.0
Lee,22897.0,3090.0,7911.0,1850.0,5.0,12856.0,728.0,1924.0,429.0,1.0,3082.0,15938.0
Liberty,35582.0,2534.0,8983.0,4216.0,0.0,15733.0,734.0,2626.0,1032.0,0.0,4392.0,20125.0
Lincoln,6176.0,841.0,1733.0,761.0,2.0,3337.0,261.0,491.0,193.0,1.0,946.0,4283.0
Long,10470.0,1154.0,2445.0,580.0,11.0,4190.0,288.0,675.0,137.0,5.0,1105.0,5295.0
Lowndes,75356.0,6113.0,20766.0,7113.0,311.0,34303.0,1780.0,5771.0,1606.0,78.0,9235.0,43538.0
Lumpkin,22407.0,1898.0,7681.0,2675.0,0.0,12254.0,389.0,1652.0,444.0,1.0,2486.0,14740.0
Macon,6991.0,723.0,1770.0,613.0,0.0,3106.0,218.0,571.0,142.0,0.0,931.0,4037.0
Madison,20720.0,3267.0,5803.0,2337.0,1.0,11408.0,767.0,1333.0,442.0,2.0,2544.0,13952.0
Marion,4913.0,675.0,1223.0,556.0,0.0,2454.0,240.0,460.0,150.0,0.0,850.0,3304.0
McDuffie,15033.0,1044.0,4820.0,1907.0,0.0,7771.0,350.0,1437.0,392.0,0.0,2179.0,9950.0
McIntosh,9292.0,904.0,2700.0,1241.0,0.0,4845.0,275.0,741.0,330.0,1.0,1347.0,6192.0
Meriwether,15337.0,2375.0,3495.0,1828.0,6.0,7704.0,848.0,1136.0,472.0,0.0,2456.0,10160.0
Miller,3912.0,490.0,1043.0,329.0,1.0,1863.0,128.0,379.0,94.0,0.0,601.0,2464.0
Mitchell,13474.0,1672.0,3118.0,1579.0,5.0,6374.0,558.0,988.0,476.0,2.0,2024.0,8398.0
Monroe,21138.0,2818.0,6994.0,1897.0,2.0,11711.0,835.0,1782.0,372.0,3.0,2992.0,14703.0
Montgomery,5463.0,975.0,1353.0,472.0,0.0,2800.0,290.0,410.0,110.0,0.0,810.0,3610.0
Morgan,14824.0,1834.0,5629.0,1601.0,3.0,9067.0,456.0,1242.0,276.0,2.0,1976.0,11043.0
Murray,22284.0,3152.0,6134.0,1510.0,0.0,10796.0,889.0,1740.0,370.0,0.0,2999.0,13795.0
Muscogee,130878.0,9761.0,31781.0,18843.0,34.0,60419.0,2849.0,8767.0,3949.0,6.0,15571.0,75990.0
