County,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total Votes
Appling,11399.0,1676.0,3775.0,876.0,8.0,6335.0,322.0,808.0,557.0,3.0,1690.0,8025.0
Bulloch,44738.0,6709.0,9089.0,2992.0,23.0,18813.0,2337.0,5018.0,3303.0,31.0,10689.0,29502.0
Burke,16556.0,1951.0,2831.0,691.0,0.0,5473.0,1402.0,1764.0,1793.0,0.0,4959.0,10432.0
Candler,6300.0,1599.0,1153.0,393.0,0.0,3145.0,489.0,335.0,350.0,1.0,1175.0,4320.0
Coffee,25114.0,2483.0,6909.0,916.0,7.0,10315.0,1054.0,2247.0,938.0,4.0,4243.0,14558.0
Columbia,115297.0,11334.0,25727.0,6898.0,40.0,43999.0,4030.0,12205.0,7711.0,25.0,23971.0,67970.0
Effingham,19592.0,2575.0,5569.0,1000.0,4.0,9148.0,636.0,1201.0,723.0,3.0,2563.0,11711.0
Emanuel,13715.0,2526.0,3107.0,932.0,1.0,6566.0,762.0,1119.0,732.0,1.0,2614.0,9180.0
Evans,6135.0,474.0,1917.0,508.0,0.0,2899.0,217.0,688.0,312.0,0.0,1217.0,4116.0
Jeff Davis,8478.0,1353.0,2646.0,530.0,0.0,4529.0,253.0,488.0,254.0,0.0,995.0,5524.0
Jenkins,5066.0,576.0,1237.0,358.0,3.0,2174.0,282.0,512.0,386.0,1.0,1181.0,3355.0
Laurens,32880.0,5603.0,6504.0,2405.0,3.0,14515.0,1795.0,3248.0,2602.0,3.0,7648.0,22163.0
Montgomery,5463.0,1096.0,1491.0,355.0,0.0,2942.0,243.0,375.0,281.0,0.0,899.0,3841.0
Richmond,134749.0,8988.0,12617.0,7060.0,38.0,28703.0,11358.0,24752.0,20333.0,145.0,56588.0,85291.0
Screven,0.0,1264.0,2157.0,539.0,11.0,3971.0,568.0,1180.0,739.0,7.0,2494.0,6465.0
Tattnall,12184.0,1529.0,3653.0,838.0,0.0,6020.0,379.0,997.0,503.0,0.0,1879.0,7899.0
Toombs,0.0,1786.0,4838.0,1246.0,6.0,7876.0,555.0,1183.0,997.0,3.0,2738.0,10614.0
Treutlen,0.0,405.0,1383.0,279.0,0.0,2067.0,111.0,476.0,276.0,0.0,863.0,2930.0
Wheeler,0.0,428.0,925.0,196.0,0.0,1549.0,191.0,279.0,185.0,0.0,655.0,2204.0
