County,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total Votes
Clayton,70714.0,1286.0,2968.0,1429.0,18.0,5701.0,6459.0,17632.0,8735.0,134.0,32960.0,38661.0
DeKalb,141842.0,2316.0,5160.0,3384.0,42.0,10902.0,7389.0,42264.0,30967.0,218.0,80838.0,91740.0
Fulton,397836.0,6122.0,21383.0,8185.0,346.0,36036.0,21649.0,110338.0,54576.0,1423.0,187986.0,224022.0
