County,Registered Voters,Barry Loudermilk (I) (Rep)_Election Day Votes,Barry Loudermilk (I) (Rep)_Advanced Voting Votes,Barry Loudermilk (I) (Rep)_Absentee by Mail Votes,Barry Loudermilk (I) (Rep)_Provisional Votes,Barry Loudermilk (I) (Rep)_Choice Total,Dana Barrett (Dem)_Election Day Votes,Dana Barrett (Dem)_Advanced Voting Votes,Dana Barrett (Dem)_Absentee by Mail Votes,Dana Barrett (Dem)_Provisional Votes,Dana Barrett (Dem)_Choice Total,Total Votes
Bartow,74409.0,10201.0,21554.0,6249.0,19.0,38023.0,2139.0,5201.0,4172.0,8.0,11520.0,49543.0
Cherokee,190531.0,24339.0,57008.0,20915.0,18.0,102280.0,6101.0,17621.0,15764.0,6.0,39492.0,141772.0
Cobb,287420.0,19351.0,43741.0,26490.0,72.0,89654.0,14299.0,43634.0,38596.0,130.0,96659.0,186313.0
Fulton,36800.0,1754.0,9840.0,3665.0,42.0,15301.0,793.0,7259.0,4870.0,30.0,12952.0,28253.0
