County,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total Votes
Elbert,12305.0,1985.0,3861.0,1448.0,0.0,7294.0,7294.0
Franklin,15146.0,2449.0,5627.0,1646.0,1.0,9723.0,9723.0
Hart,16929.0,2579.0,6189.0,1888.0,3.0,10659.0,10659.0
Madison,20720.0,3906.0,6681.0,2189.0,3.0,12779.0,12779.0
Oglethorpe,10844.0,1250.0,4004.0,1219.0,2.0,6475.0,6475.0
