County,Registered Voters,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_Choice Total,Total Votes
Catoosa,45715.0,5644.0,18477.0,3723.0,21.0,27865.0,27865.0
Chattooga,14143.0,2607.0,4754.0,1339.0,6.0,8706.0,8706.0
Dade,11660.0,2066.0,3509.0,755.0,5.0,6335.0,6335.0
Walker,42924.0,5989.0,14942.0,4288.0,8.0,25227.0,25227.0
