County,Registered Voters,Craig Fraser (I) (Rep)_Election Day Votes,Craig Fraser (I) (Rep)_Advanced Voting Votes,Craig Fraser (I) (Rep)_Absentee by Mail Votes,Craig Fraser (I) (Rep)_Provisional Votes,Craig Fraser (I) (Rep)_Choice Total,Adriane Latrell Love (Dem)_Election Day Votes,Adriane Latrell Love (Dem)_Advanced Voting Votes,Adriane Latrell Love (Dem)_Absentee by Mail Votes,Adriane Latrell Love (Dem)_Provisional Votes,Adriane Latrell Love (Dem)_Choice Total,Total Votes
Johnson,5611.0,686.0,1642.0,329.0,0.0,2657.0,277.0,658.0,406.0,0.0,1341.0,3998.0
Laurens,32880.0,5042.0,5937.0,2355.0,2.0,13336.0,2437.0,3899.0,2674.0,4.0,9014.0,22350.0
Treutlen,0.0,330.0,1149.0,249.0,0.0,1728.0,205.0,743.0,327.0,0.0,1275.0,3003.0
Twiggs,6304.0,787.0,1157.0,319.0,1.0,2264.0,441.0,885.0,695.0,3.0,2024.0,4288.0
