County,Registered Voters,Jody Hice (I) (Rep)_Election Day Votes,Jody Hice (I) (Rep)_Advanced Voting Votes,Jody Hice (I) (Rep)_Absentee by Mail Votes,Jody Hice (I) (Rep)_Provisional Votes,Jody Hice (I) (Rep)_Choice Total,Tabitha Johnson-Green (Dem)_Election Day Votes,Tabitha Johnson-Green (Dem)_Advanced Voting Votes,Tabitha Johnson-Green (Dem)_Absentee by Mail Votes,Tabitha Johnson-Green (Dem)_Provisional Votes,Tabitha Johnson-Green (Dem)_Choice Total,Total Votes
Baldwin,26721.0,1880.0,5846.0,1371.0,4.0,9101.0,1478.0,4298.0,2856.0,1.0,8633.0,17734.0
Barrow,55605.0,5917.0,16801.0,4245.0,2.0,26965.0,1654.0,4908.0,3370.0,4.0,9936.0,36901.0
Butts,17154.0,806.0,6367.0,1144.0,2.0,8319.0,368.0,1822.0,920.0,1.0,3111.0,11430.0
Clarke,66059.0,3111.0,6889.0,4122.0,15.0,14137.0,4082.0,13905.0,12069.0,25.0,30081.0,44218.0
Columbia,19085.0,2550.0,4878.0,901.0,10.0,8339.0,548.0,1504.0,980.0,1.0,3033.0,11372.0
Glascock,2039.0,392.0,764.0,197.0,0.0,1353.0,37.0,55.0,52.0,0.0,144.0,1497.0
Greene,14171.0,870.0,5099.0,1407.0,3.0,7379.0,541.0,1778.0,1351.0,7.0,3677.0,11056.0
Hancock,5827.0,271.0,634.0,257.0,0.0,1162.0,591.0,1059.0,1162.0,3.0,2815.0,3977.0
Henry,41289.0,3998.0,11581.0,2433.0,3.0,18015.0,1426.0,6071.0,3082.0,1.0,10580.0,28595.0
Jasper,10432.0,1524.0,3438.0,842.0,11.0,5815.0,287.0,728.0,629.0,2.0,1646.0,7461.0
Jefferson,11334.0,1073.0,1950.0,454.0,4.0,3481.0,1008.0,1614.0,1204.0,8.0,3834.0,7315.0
Johnson,5611.0,753.0,1714.0,334.0,0.0,2801.0,199.0,554.0,352.0,0.0,1105.0,3906.0
Lincoln,6176.0,899.0,1832.0,439.0,1.0,3171.0,248.0,489.0,605.0,2.0,1344.0,4515.0
McDuffie,15033.0,831.0,4468.0,944.0,0.0,6243.0,589.0,1937.0,1460.0,0.0,3986.0,10229.0
Morgan,14824.0,1904.0,5502.0,1006.0,3.0,8415.0,462.0,1640.0,957.0,2.0,3061.0,11476.0
Newton,21298.0,5161.0,2421.0,1547.0,1.0,9130.0,900.0,1053.0,1115.0,2.0,3070.0,12200.0
Oconee,30071.0,2810.0,11783.0,3049.0,2.0,17644.0,635.0,3911.0,2643.0,2.0,7191.0,24835.0
Oglethorpe,10844.0,1052.0,3551.0,982.0,2.0,5587.0,394.0,1108.0,815.0,1.0,2318.0,7905.0
Putnam,16003.0,1557.0,4988.0,1847.0,1.0,8393.0,435.0,1424.0,1363.0,0.0,3222.0,11615.0
Taliaferro,1245.0,102.0,199.0,62.0,0.0,363.0,90.0,197.0,211.0,0.0,498.0,861.0
Walton,70006.0,9030.0,22652.0,6245.0,0.0,37927.0,2029.0,5975.0,3962.0,0.0,11966.0,49893.0
Warren,3785.0,189.0,765.0,212.0,0.0,1166.0,291.0,586.0,529.0,0.0,1406.0,2572.0
Washington,12990.0,1407.0,2392.0,735.0,4.0,4538.0,1041.0,1758.0,1726.0,6.0,4531.0,9069.0
Wilkes,6819.0,711.0,1638.0,484.0,4.0,2837.0,470.0,829.0,713.0,3.0,2015.0,4852.0
