County,Registered Voters,Drew Ferguson (I) (Rep)_Election Day Votes,Drew Ferguson (I) (Rep)_Advanced Voting Votes,Drew Ferguson (I) (Rep)_Absentee by Mail Votes,Drew Ferguson (I) (Rep)_Provisional Votes,Drew Ferguson (I) (Rep)_Choice Total,Val Almonord (Dem)_Election Day Votes,Val Almonord (Dem)_Advanced Voting Votes,Val Almonord (Dem)_Absentee by Mail Votes,Val Almonord (Dem)_Provisional Votes,Val Almonord (Dem)_Choice Total,Total Votes
Carroll,83847.0,11175.0,21911.0,4918.0,30.0,38034.0,2790.0,7979.0,4256.0,13.0,15038.0,53072.0
Coweta,102110.0,18650.0,24179.0,10126.0,4.0,52959.0,4835.0,8793.0,8384.0,16.0,22028.0,74987.0
Fayette,78766.0,5891.0,21167.0,7003.0,52.0,34113.0,2271.0,12305.0,7405.0,32.0,22013.0,56126.0
Harris,25626.0,5681.0,6695.0,2265.0,14.0,14655.0,1112.0,1921.0,1851.0,4.0,4888.0,19543.0
Heard,7762.0,1612.0,2141.0,690.0,1.0,4444.0,155.0,312.0,271.0,1.0,739.0,5183.0
Henry,57394.0,2075.0,9382.0,2417.0,6.0,13880.0,2892.0,13504.0,6646.0,10.0,23052.0,36932.0
Lamar,12839.0,1744.0,3776.0,838.0,7.0,6365.0,460.0,1111.0,874.0,2.0,2447.0,8812.0
Meriwether,15337.0,2209.0,3290.0,1022.0,2.0,6523.0,1114.0,1500.0,1389.0,4.0,4007.0,10530.0
Muscogee,37484.0,3151.0,8074.0,3085.0,10.0,14320.0,1124.0,3965.0,3017.0,5.0,8111.0,22431.0
Pike,0.0,2336.0,5832.0,944.0,0.0,9112.0,250.0,630.0,489.0,0.0,1369.0,10481.0
Spalding,45985.0,5264.0,8780.0,3599.0,539.0,18182.0,2447.0,4319.0,3973.0,332.0,11071.0,29253.0
Troup,42964.0,4858.0,10820.0,3154.0,49.0,18881.0,2523.0,4785.0,3144.0,28.0,10480.0,29361.0
Upson,18175.0,1380.0,6045.0,1235.0,4.0,8664.0,594.0,1774.0,1438.0,0.0,3806.0,12470.0
