County,Registered Voters,Randy McGinley (Rep)_Election Day Votes,Randy McGinley (Rep)_Advanced Voting Votes,Randy McGinley (Rep)_Absentee by Mail Votes,Randy McGinley (Rep)_Provisional Votes,Randy McGinley (Rep)_Choice Total,Destiny Bryant (Dem)_Election Day Votes,Destiny Bryant (Dem)_Advanced Voting Votes,Destiny Bryant (Dem)_Absentee by Mail Votes,Destiny Bryant (Dem)_Provisional Votes,Destiny Bryant (Dem)_Choice Total,Total Votes
Newton,78994.0,10699.0,8002.0,4931.0,16.0,23648.0,6876.0,12403.0,10240.0,21.0,29540.0,53188.0
Walton,70006.0,8956.0,22544.0,6203.0,0.0,37703.0,2108.0,6054.0,3911.0,0.0,12073.0,49776.0
