County,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total Votes
Bibb,107979.0,13130.0,26760.0,16033.0,136.0,56059.0,56059.0
Crawford,8512.0,936.0,2361.0,780.0,2.0,4079.0,4079.0
Peach,17996.0,1362.0,5852.0,2057.0,8.0,9279.0,9279.0
