County,Registered Voters,Bert Poston (I) (Rep)_Election Day Votes,Bert Poston (I) (Rep)_Advanced Voting Votes,Bert Poston (I) (Rep)_Absentee by Mail Votes,Bert Poston (I) (Rep)_Provisional Votes,Bert Poston (I) (Rep)_Choice Total,Total Votes
Murray,22284.0,3951.0,7830.0,1553.0,0.0,13334.0,13334.0
Whitfield,54749.0,10274.0,15167.0,4741.0,48.0,30230.0,30230.0
