index,County,Precinct,Registered Voters,Jeff Mullis (I) (Rep)_Election Day Votes,Jeff Mullis (I) (Rep)_Advanced Voting Votes,Jeff Mullis (I) (Rep)_Absentee by Mail Votes,Jeff Mullis (I) (Rep)_Provisional Votes,Jeff Mullis (I) (Rep)_Choice Total,Total,
0,Catoosa,Blackstock,1952,398,610,120,1,1129,1129,
1,Catoosa,Boynton,6027,759,2611,493,3,3866,3866,
2,Catoosa,Catoosa Keith,2611,514,890,193,0,1597,1597,
3,Catoosa,Chambers,2552,346,1131,228,4,1709,1709,
4,Catoosa,Ft Oglethorpe,4054,429,1427,388,1,2245,2245,
5,Catoosa,Graysville,4501,620,1717,318,3,2658,2658,
6,Catoosa,Lakeview,3572,393,1183,254,3,1833,1833,
7,Catoosa,Poplar Springs,4191,501,1759,326,0,2586,2586,
8,Catoosa,Ringgold,7414,655,3173,653,1,4482,4482,
9,Catoosa,Westside,5895,455,2316,508,2,3281,3281,
10,Catoosa,Woodstation,2946,553,1204,202,3,1962,1962,
