index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Catoosa,Blackstock,1952,371,576,108,0,1055,37,107,60,1,205,25,16,2,0,43,1303,
1,Catoosa,Boynton,6027,669,2398,372,2,3441,126,544,267,0,937,47,84,14,0,145,4523,
2,Catoosa,Catoosa Keith,2611,475,838,163,0,1476,57,167,102,0,326,22,37,5,0,64,1866,
3,Catoosa,Chambers,2552,326,1119,177,2,1624,52,181,104,1,338,18,23,5,0,46,2008,
4,Catoosa,Ft Oglethorpe,4054,360,1261,301,0,1922,107,362,199,1,669,20,57,16,0,93,2684,
5,Catoosa,Graysville,4501,549,1598,249,2,2398,106,322,188,0,616,29,52,10,0,91,3105,
6,Catoosa,Lakeview,3572,333,1063,187,1,1584,88,249,129,1,467,26,50,16,1,93,2144,
7,Catoosa,Poplar Springs,4191,460,1661,254,0,2375,75,318,168,1,562,28,38,19,0,85,3022,
8,Catoosa,Ringgold,7414,565,2946,495,3,4009,144,729,374,0,1247,37,96,29,0,162,5418,
9,Catoosa,Westside,5895,396,2093,386,2,2877,93,530,237,0,860,21,76,14,0,111,3848,
10,Catoosa,Woodstation,2946,513,1151,143,3,1810,79,186,106,1,372,30,32,9,0,71,2253,
