index,County,Precinct,Registered Voters,Tracy Hullender Brown (I) (Rep)_Election Day Votes,Tracy Hullender Brown (I) (Rep)_Advanced Voting Votes,Tracy Hullender Brown (I) (Rep)_Absentee by Mail Votes,Tracy Hullender Brown (I) (Rep)_Provisional Votes,Tracy Hullender Brown (I) (Rep)_Choice Total,Total,
0,Catoosa,Blackstock,1952,401,625,130,1,1157,1157,
1,Catoosa,Boynton,6027,766,2697,504,3,3970,3970,
2,Catoosa,Catoosa Keith,2611,521,935,203,0,1659,1659,
3,Catoosa,Chambers,2552,358,1180,227,2,1767,1767,
4,Catoosa,Ft Oglethorpe,4054,431,1468,384,1,2284,2284,
5,Catoosa,Graysville,4501,620,1750,330,3,2703,2703,
6,Catoosa,Lakeview,3572,393,1212,262,3,1870,1870,
7,Catoosa,Poplar Springs,4191,524,1825,341,0,2690,2690,
8,Catoosa,Ringgold,7414,666,3333,712,3,4714,4714,
9,Catoosa,Westside,5895,457,2354,517,2,3330,3330,
10,Catoosa,Woodstation,2946,569,1226,207,3,2005,2005,
