index,County,Precinct,Registered Voters,John D. Gass (I) (Rep)_Election Day Votes,John D. Gass (I) (Rep)_Advanced Voting Votes,John D. Gass (I) (Rep)_Absentee by Mail Votes,John D. Gass (I) (Rep)_Provisional Votes,John D. Gass (I) (Rep)_Choice Total,Total,
0,Catoosa,Blackstock,1952,400,631,127,1,1159,1159,
1,Catoosa,Boynton,6027,762,2709,490,3,3964,3964,
2,Catoosa,Catoosa Keith,2611,521,928,196,0,1645,1645,
3,Catoosa,Chambers,2552,355,1175,222,2,1754,1754,
4,Catoosa,Ft Oglethorpe,4054,429,1470,385,1,2285,2285,
5,Catoosa,Graysville,4501,627,1765,326,3,2721,2721,
6,Catoosa,Lakeview,3572,393,1225,264,3,1885,1885,
7,Catoosa,Poplar Springs,4191,518,1828,335,1,2682,2682,
8,Catoosa,Ringgold,7414,662,3365,696,3,4726,4726,
9,Catoosa,Westside,5895,466,2384,511,2,3363,3363,
10,Catoosa,Woodstation,2946,573,1235,209,2,2019,2019,
