index,County,Precinct,Registered Voters,Dominic LaRiccia (I) (Rep)_Election Day Votes,Dominic LaRiccia (I) (Rep)_Advanced Voting Votes,Dominic LaRiccia (I) (Rep)_Absentee by Mail Votes,Dominic LaRiccia (I) (Rep)_Provisional Votes,Dominic LaRiccia (I) (Rep)_Choice Total,"Michael """"Buckle"""" Moore (Dem)_Election Day Votes","Michael """"Buckle"""" Moore (Dem)_Advanced Voting Votes","Michael """"Buckle"""" Moore (Dem)_Absentee by Mail Votes","Michael """"Buckle"""" Moore (Dem)_Provisional Votes","Michael """"Buckle"""" Moore (Dem)_Choice Total",Total,
0,Coffee,Douglas,17243,945,4524,636,3,6108,787,2034,728,0,3549,9657,
1,Coffee,Bridgetown,344,102,59,7,0,168,46,20,9,0,75,243,
2,Coffee,Broxton,2398,102,314,34,1,451,46,57,41,0,144,595,
3,Coffee,Nicholls,2115,356,478,55,2,891,111,132,74,1,318,1209,
4,Coffee,West Green,961,286,235,50,0,571,34,16,8,0,58,629,
