index,County,Precinct,Registered Voters,Adam H. Evans (I) (Rep)_Election Day Votes,Adam H. Evans (I) (Rep)_Advanced Voting Votes,Adam H. Evans (I) (Rep)_Absentee by Mail Votes,Adam H. Evans (I) (Rep)_Provisional Votes,Adam H. Evans (I) (Rep)_Choice Total,Total,
0,Coffee,Douglas,17243,1409,5596,972,2,7979,7979,
1,Coffee,Ambrose,2053,390,675,110,1,1176,1176,
2,Coffee,Bridgetown,344,126,67,12,0,205,205,
3,Coffee,Broxton,2398,387,815,108,3,1313,1313,
4,Coffee,Nicholls,2115,394,540,98,3,1035,1035,
5,Coffee,West Green,961,298,240,50,0,588,588,
