index,County,Precinct,Registered Voters,Rick W. Allen (I) (Rep)_Election Day Votes,Rick W. Allen (I) (Rep)_Advanced Voting Votes,Rick W. Allen (I) (Rep)_Absentee by Mail Votes,Rick W. Allen (I) (Rep)_Provisional Votes,Rick W. Allen (I) (Rep)_Choice Total,Liz Johnson (Dem)_Election Day Votes,Liz Johnson (Dem)_Advanced Voting Votes,Liz Johnson (Dem)_Absentee by Mail Votes,Liz Johnson (Dem)_Provisional Votes,Liz Johnson (Dem)_Choice Total,Total,
0,Coffee,Douglas,17243,1022,4717,631,3,6373,710,1848,740,0,3298,9671,
1,Coffee,Ambrose,2053,348,632,96,0,1076,73,125,40,3,241,1317,
2,Coffee,Bridgetown,344,113,61,7,0,181,33,14,9,0,56,237,
3,Coffee,Broxton,2398,333,762,67,2,1164,126,137,77,0,340,1504,
4,Coffee,Nicholls,2115,370,493,64,2,929,93,114,65,1,273,1202,
5,Coffee,West Green,961,297,244,51,0,592,19,9,7,0,35,627,
