index,County,Precinct,Registered Voters,Doyle T. Wooten (I) (Rep)_Election Day Votes,Doyle T. Wooten (I) (Rep)_Advanced Voting Votes,Doyle T. Wooten (I) (Rep)_Absentee by Mail Votes,Doyle T. Wooten (I) (Rep)_Provisional Votes,Doyle T. Wooten (I) (Rep)_Choice Total,Total,
0,Coffee,Douglas,17243,1433,5663,1013,2,8111,8111,
1,Coffee,Ambrose,2053,395,675,111,1,1182,1182,
2,Coffee,Bridgetown,344,125,67,14,0,206,206,
3,Coffee,Broxton,2398,399,824,109,3,1335,1335,
4,Coffee,Nicholls,2115,409,544,101,3,1057,1057,
5,Coffee,West Green,961,297,245,48,0,590,590,
