index,County,Precinct,Registered Voters,Clay Pirkle (I) (Rep)_Election Day Votes,Clay Pirkle (I) (Rep)_Advanced Voting Votes,Clay Pirkle (I) (Rep)_Absentee by Mail Votes,Clay Pirkle (I) (Rep)_Provisional Votes,Clay Pirkle (I) (Rep)_Choice Total,Lethia Jones Kittrell (Dem)_Election Day Votes,Lethia Jones Kittrell (Dem)_Advanced Voting Votes,Lethia Jones Kittrell (Dem)_Absentee by Mail Votes,Lethia Jones Kittrell (Dem)_Provisional Votes,Lethia Jones Kittrell (Dem)_Choice Total,Total,
0,Coffee,Ambrose,2053,351,620,93,0,1064,68,132,43,0,243,1307,
1,Coffee,Broxton,2398,218,444,37,0,699,95,91,30,0,216,915,
