index,County,Precinct,Registered Voters,Brandon K. Musgrove (I) (Rep)_Election Day Votes,Brandon K. Musgrove (I) (Rep)_Advanced Voting Votes,Brandon K. Musgrove (I) (Rep)_Absentee by Mail Votes,Brandon K. Musgrove (I) (Rep)_Provisional Votes,Brandon K. Musgrove (I) (Rep)_Choice Total,Total,
0,Coffee,Douglas,17243,1439,5625,978,2,8044,8044,
1,Coffee,Ambrose,2053,391,666,109,1,1167,1167,
2,Coffee,Bridgetown,344,128,65,14,0,207,207,
3,Coffee,Broxton,2398,384,808,107,3,1302,1302,
4,Coffee,Nicholls,2115,400,537,95,3,1035,1035,
5,Coffee,West Green,961,301,243,50,0,594,594,
