index,County,Precinct,Registered Voters,Shanda_Election Day Votes,Shanda_Advanced Voting Votes,Shanda_Absentee by Mail Votes,Shanda_Provisional Votes,Shanda_Choice Total,Total,
0,Coffee,Douglas,17243,1474,5795,1025,2,8296,8296,
1,Coffee,Ambrose,2053,389,686,111,1,1187,1187,
2,Coffee,Bridgetown,344,130,68,14,0,212,212,
3,Coffee,Broxton,2398,419,832,113,3,1367,1367,
4,Coffee,Nicholls,2115,417,550,100,3,1070,1070,
5,Coffee,West Green,961,303,244,49,0,596,596,
