index,County,Precinct,Registered Voters,Tyler Harper (I) (Rep)_Election Day Votes,Tyler Harper (I) (Rep)_Advanced Voting Votes,Tyler Harper (I) (Rep)_Absentee by Mail Votes,Tyler Harper (I) (Rep)_Provisional Votes,Tyler Harper (I) (Rep)_Choice Total,Total,
0,Coffee,Douglas,17243,1353,5448,865,2,7668,7668,
1,Coffee,Ambrose,2053,387,684,103,0,1174,1174,
2,Coffee,Bridgetown,344,124,67,13,0,204,204,
3,Coffee,Broxton,2398,384,814,91,2,1291,1291,
4,Coffee,Nicholls,2115,396,532,90,3,1021,1021,
5,Coffee,West Green,961,304,245,54,0,603,603,
